name,website,companyLogo,description,funding,founded,headquarteredIn,geographicalFocus,typeOfWork,category,requiresDigitalAudience,applicationRequired,remoteWork,minimumAge,equipmentQualSkills,requirements,averageEarnings,timeToFirstDollar,numPeopleMakingMoney,profitModel,profitModelDescription,platformPricing,affiliateLink,founderMessage,founderName,founderTwitter,email,Notes,Signup Link
Juni,junilearning.com,,"Inspire and teach students to purse their passions with joy, starting with Computer Science, Math, and English. Juni's full-featured curriculum and platform make it seamless for you to focus on what you do best - mentoring and connecting with students.",$14M,2017,San Francisco,U.S.,Teacher,Gig (work on your time),No,Yes,Yes,,"Computer (with internet connection),Bachelor's Degree,Background Check,Native English Speaker",Currently pursuing a B.S. or B.A. or graduate in a related field to your teaching subject area.,500,7,1000,Subscription Fee,250,,,,,,vivian@learnwithjuni.com,,
Virtually,https://tryvirtually.com/,Virtually-logo-square.png (https://dl.airtable.com/.attachments/d6eb7be2084021c2fe10e608510e446c/29253ba8/Virtually-logo-square.png),"Virtually gives educators all the tools they need to build their own online school with built-in support for payments, live classes, and student outcome tracking. ",$2.2M,2019,"New York, NY",Worldwide,"Content Creator,Community Leader,Teacher",SMB (creation of a business),Yes,No,Yes,18,Computer (with internet connection),Domain expertise in the topic area that you'd like to teach,3000,7,100,Subscription Fee,50,,,"Virtuall is a platform that empowers anyone to build their own online school with built-in support for payments, live classes, and student progress tracking. It's being used by over a hundred different programs to deliver fully-virtual education to 1,200+ students world-wide. 

If you're an educator looking to build and grow your online business, give Virtually a shot and send me your feedback on Twitter.",Ish Baid,https://twitter.com/IshBaid,ish@tryvirtually.com,,
Run The World,https://runtheworld.today,,"Host interactive virtual events and earn money through tickets, memberships and sponsorships.",$15M,2019,"Mountain View, CA / Remote",Worldwide,"Community Leader,Content Creator,Event Organizer",Creator (monetize audience and fans),"No, however one would be helpful",No,Yes,,"Computer (with internet connection),Smartphone (with data)",,10000,,1,Percentage Take Rate,15,,,,,,valerie@runtheworld.today,,
Nexus.gg,https://nexus.gg,icon-full-color.png (https://dl.airtable.com/.attachments/ab376472f65c563388225a91b9ea3a64/797b198d/icon-full-color.png),Gaming content creators have their own personalized game store - their fans can buy the games they love and support their favorite creator,$6.5M,2016,"Austin, Texas","North America, Europe, Australia","Content Creator,Ecommerce,Reseller",Creator (monetize audience and fans),Yes,No,Yes,18,Computer (with internet connection),,1000,30,100,Percentage Take Rate,15,,,"Content creators are the driving force of discovery in gaming. They deserve credit, attribution, and certainly monetization - Nexus helps make that happen. Gamers are already buying games and mtx because of what their favorite creators are playing, now they can support the creator at the same time. Build your own game store in 2 minutes on Nexus",Justin Sacks,https://twitter.com/justin__sacks,justin@nexus.gg,,
Glow,www.glow.fm,GLOW-logo-RGB-navy.png (https://dl.airtable.com/.attachments/6db9f30a108ba7037ed85232184d646d/30058429/GLOW-logo-RGB-navy.png),Charge for and distribute premium podcast content,Acquired by Libsyn,2019,"Seattle, WA",North America,"Audio Content Creator,Community Leader,Podcaster,Video Course Creator",Creator (monetize audience and fans),"No, however one would be helpful",No,Yes,,Microphone,"You should be a podcaster or able to turn other relavant content (ie, video) into podcast form.",,30,500,Other,,$.55/listener/month,,"Glow was inspired by own journey as a podcaster who was on the hunt for a way to turn my local news podcast into a local news business. We were built for podcasters, by podcasters, and we believe in bringing you the tools you need to turn your content into a business. ",,,amira@glow.fm,,
Luma,lu.ma,Luma Logo Big.png (https://dl.airtable.com/.attachments/58e698bb88d604cdee252b1da085a376/0dc754a6/LumaLogoBig.png),"Luma lets you showcase your work, set up a storefront, and connect with your audience. With Luma, you can set up a beautiful homepage in minutes to start collecting emails, hosting classes, and selling products.",$3M,2020,,Worldwide,"Ecommerce,Content Creator,Event Organizer",Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Bank Account",,1000,,200,Other,,5% take rate or $50 / mo,,,,,victor@lu.ma,,
Vanly,vanly.app,vanly_logo.jpg (https://dl.airtable.com/.attachments/d2585e01347c0a57b21e7049b1a08137/a66e7f87/vanly_logo.jpg),Rent out your driveway and amenities for the night to van and RV travelers,Bootstrapped,2020,"Santa Cruz, CA",North America,Rentals,Rentals,No,No,Yes,18,"Computer (with internet connection),Smartphone (with data)","Access to a driveway or parking space and/or amenities such as shower, washing machine, dryer, etc.",400,5,700,Percentage Take Rate,10,,https://vanly.app?ref=sidehustlestack,,,,info@vanly.app,,
Strydal,strydal.com,logo (1).jpg (https://dl.airtable.com/.attachments/d86415a5b8ef6f935e1e11f1489ea843/7c21e528/logo1.jpg),"Offer live fitness classes, videos and programs.",$1M,2019,"Munich, Germany",Europe,"Fitness Instructor,Video Course Creator",Creator (monetize audience and fans),Yes,No,Yes,18,"Smartphone (with data),Bank Account",,320,14,100,Percentage Take Rate,10,,,"In the last 6 months almost 2,000 talented creators have joined Strydal and built thriving businesses by giving people better ways to work out from home.

If you're passionate for fitness, yoga, mediation or another wellbeing category, we think you'll like what we've built, and we'd love to have you onboard!",Guilherme Coelho,https://twitter.com/iamguico,guilherme@strydal.com,,
Jemi,http://jemi.app/,,"Best fan monetization platform to sell Zoom events, shoutouts, content, and merch directly to your fans. You also have the ability to set up subscriptions to generate recurring revenue from your gated content.",$1.7M,2020,"San Francisco, CA",Worldwide,"Content Creator,Event Organizer,Ecommerce",Creator (monetize audience and fans),Yes,Yes,Yes,18,Computer (with internet connection),,500,0,100,Percentage Take Rate,15,,,"Jemi is the most flexible monetization platform for creators and public figures. If you have an online audience that you think might want to buy tickets to your Zoom events, shoutouts, merch, or even pay on a monthly basis to get access to your most exclusive content, Jemi is the best for you.",Annie Hwang,,annie@jemi.app,,
Salut,joinsalut.com,,"Social video platform for fitness. Schedule, stream, and monetize live and on-demand video - all in one app for free. ",$1.3M,2020,"Lake Tahoe, CA","North America, Europe, Australia",Fitness Instructor,Creator (monetize audience and fans),"No, however one would be helpful",No,Yes,,Smartphone (with data),"Expertise in fitness, health, and wellness. ",1000,1,50,Other,,"Free, donation supported. ",,Welcome virtual trainers! Salut is the trainer-led movement making fitness work better for everyone. We are dedicated to your success. Joins us.,,,matt@joinsalut.com,,
