name,website,companyLogo,description,funding,founded,headquarteredIn,geographicalFocus,typeOfWork,category,requiresDigitalAudience,applicationRequired,remoteWork,minimumAge,equipmentQualSkills,requirements,averageEarnings,timeToFirstDollar,numPeopleMakingMoney,profitModel,profitModelDescription,platformPricing,affiliateLink,founderMessage,founderName,founderTwitter,email
Beacons,https://beacons.ai,,Create an easy-to-use and fully customizable mobile website that lets you engage and monetize your audience.,Currently Raising,2019,"San Francisco, CA",Worldwide,"Content Creator,E-commerce",Creator (monetize audience and fans),Yes,No - anyone that meets requirements can sign up,Yes,16,Smartphone (with data),No,0,,200,Other,,"Free plan has a 9% transaction fee. Premium plan ($10/month) has a 5% transaction fee, and lets creators use a custom domain. Beacons takes no fee on donations.",,"Beacons helps creators build mobile websites that bring their work, and their audience, together in one place. Creators are usually on a bunch of platforms and have diverse groups of fans — we help creators build their businesses by connecting their audience with the content that they care about.",Neal Jean,https://twitter.com/nealjean1?lang=en,neal@beacons.ai
COMBO,joincombo.com,,Combo is the best way to turn your Twitch clips into TikToks in a few clicks,,2020,,,Gamer,SMB (creation of a business),Yes,No - anyone that meets requirements can sign up,,,,"Active audience either on Twitch, or Twitter, who want to play games!",,,,Other,,Free or $9/mo premium plan,,,,,tucker@joincombo.com
Beam.gg,https://beam.gg,,Community owners with content such as game guides or a group of gamers looking to become pro can charge a monthly subscription to get access to their branded community platform.,$0.1M,2020,,,Gamer,SMB (creation of a business),Yes,Yes,Yes,13,"Computer (with internet connection), Native English",,,,,Other,,$2/user/month,,,,,
Feather,withfeather.com,,"Easily manage and monetize your virtual events, on-demand classes, and other digital content.",,2020,,,Content Creator,SMB (creation of a business),Yes,No,Yes,,"Computer (with internet connection), Native English",,,,,Other,,6% + 30¢ per transaction. Free for free content,,,,,team@withfeather.com
Pico,https://trypico.com,,We're building customer software for the next chapter of the Internet economy and designing tools that empower online businesses to be built around their communities.,$10M,2016,,,Content Creator,,Yes,Yes,,,,"A Stripe account
An email service provider (eg, Mailchimp, Active Campaign, Convertkit)
A website (eg, WordPress, Webflow, Ghost) (optional)",,,,Other,,"$0/mo until you grow past 500 contacts. $5/500 contacts/month up to 5,000 contacts. $5/1,000 contacts/month up to 50,000 contacts. $5/2,000 contacts/month >50,000 contacts",https://trypico.com/signup,,,,jason@trypico.com
Supercast,https://www.supercast.com/,,Implement a subscription model for your podcast and offer exclusive content to paying listeners.,$2M,2019,,,Podcaster,SMB (creation of a business),Yes,No,Yes,,Smartphone (with data),A podcast to share,,,,Other,,$0.59 per member/month,,,,,
Circle,https://circle.so,,"Bring together your discussions, memberships, and content and integrate a thriving community wherever your audience is, all under your own brand.",$5.6M,2019,,,Community Leader,SMB (creation of a business),Yes,No,Yes,18,Computer (with internet connection),"Appropriate technology, like computer and web access, for maintaining a digital community.",Need to consolidate,,,Other,,Plans range from $39-$199/month,,"Circle is building the modern community platform for every creator and brand in the world: think ""Shopify for creator/brand-led communities"". We make it really easy for creators and brands to bring their discussions, members and content all into one place. Circle communities are more than just forums — we aim to vertically integrate modern community needs like live video, payments/subscriptions, content-centric posts, and group messaging in a powerful and easy-to-use experience that scales with the community",Sid Yadav,https://twitter.com/sidyadav,
Disciple,www.disciplemedia.com/,,"Host, engage and monetise your community on your terms. Create your own community app and gather your customers.",,2013,,,Community Leader,SMB (creation of a business),Yes,No,Yes,18,Need to consolidate,"Appropriate technology, like computer and web access, for maintaining a digital community.",Need to consolidate,,,Other,,"$55/month for web platform, $549 for web + mobile platform",,,,,
Walden,https://www.waldenapp.com/,,Build and manage your coaching business with this all-in-one solution.,Bootstrapped,2017,,,Coach,SMB (creation of a business),Yes,No,Yes,,Need to consolidate,Computer or device to access Walden.,Need to consolidate,,,Subscription fee,39,,,,,,
Streamloots,https://www.streamloots.com/,,Monetize your audience and offer viewers a thematic and interactive experience while you livestream your gameplay.,$7.2M,2018,,,Gamer,SMB (creation of a business),Yes,No,Need to consolidate,18,Need to consolidate,Appropriate technology to game and livestream.,Need to consolidate,,,Other,,"20% commission fee for general streamers, 10% for partners.",,"Streamloots puts streamers in control to monetize meaningful engagement with their viewers on their own terms, so they can turn their passion into profit. We believe in honoring the autonomy and entrepreneurial potential of streamers, and enabling them to become successful businesses able to compete with the major distribution gatekeepers.",Alber Emegé,https://twitter.com/alber_emege?lang=en,
LaunchPass,https://launchpass.com/,,Provide exclusive access to a Slack or Discord community and launch a subscription business in minutes,Bootstrapped,2016,,,Community Leader,SMB (creation of a business),Yes,No,Need to consolidate,18,Need to consolidate,A Slack community (or plans to build one!) ,Need to consolidate,,,Other,,Plans range from free to $29/month,,,,,
InviteRobot,https://inviterobot.com/,,Offer an exclusive access page to your Slack community with instant paid subscriptions.,Bootstrapped,2017,,,Community Leader,SMB (creation of a business),Yes,No,Need to consolidate,13,Need to consolidate,A Slack community (or plans to build one!) ,Need to consolidate,,,Other,,"Free for first 15 members, then plans range from free to $19/month (with 12% to 3% fee respectively)",,,,,
